,Topic,Question,CorrectArticleFile,DocumentRetrieved,Match
0,John_Adams,Did John Adams represent the Continental Congress in Europe?,S08_set3_a1,S08_set3_a1,1
1,John_Adams,Did John Adams represent the Continental Congress in Europe?,S08_set3_a1,S08_set3_a1,1
2,John_Adams,Was Adams raised Congregationalist?,S08_set3_a1,S08_set3_a1,1
3,John_Adams,Was Adams raised Congregationalist?,S08_set3_a1,S08_set3_a1,1
4,John_Adams,Was Adams an opponent of the Stamp Act?,S08_set3_a1,S08_set3_a1,1
5,John_Adams,Was Adams an opponent of the Stamp Act?,S08_set3_a1,S08_set3_a1,1
6,John_Adams,When did Adams graduate from college?,S08_set3_a1,S08_set3_a1,1
7,John_Adams,When did Adams graduate from college?,S08_set3_a1,S08_set3_a1,1
8,John_Adams,Who was on the committee with Adams to draft  a Declaration of Independence?,S08_set3_a1,S08_set3_a1,1
9,John_Adams,Who was on the committee with Adams to draft  a Declaration of Independence?,S08_set3_a1,S08_set3_a1,1
10,John_Adams,What did Jefferson call John Adams?,S08_set3_a1,S08_set3_a1,1
11,John_Adams,What did Jefferson call John Adams?,S08_set3_a1,S08_set3_a1,1
12,John_Adams,What was Adams' political party?,S08_set3_a1,S08_set3_a1,1
13,John_Adams,What was Adams' political party?,S08_set3_a1,S08_set3_a1,1
14,John_Adams,Was Adams the first to introduce a bicameral legislature?,S08_set3_a1,S08_set3_a1,1
15,John_Adams,Was Adams the first to introduce a bicameral legislature?,S08_set3_a1,S08_set3_a1,1
16,John_Adams,Did John Adams get along with Alexander Hamilton?,S08_set3_a1,S08_set3_a1,1
17,John_Adams,Did John Adams get along with Alexander Hamilton?,S08_set3_a1,S08_set3_a1,1
18,John_Adams,Did John Adams go to Harvard? ,S08_set3_a1,S08_set3_a1,1
19,John_Adams,Did John Adams go to Harvard? ,S08_set3_a1,S08_set3_a1,1
20,John_Adams,Did John Adams support the Stamp Act of 1765?,S08_set3_a1,S08_set3_a1,1
21,John_Adams,Did John Adams support the Stamp Act of 1765?,S08_set3_a1,S08_set3_a1,1
22,John_Adams,Is Adams' birthplace part of a national park?,S08_set3_a1,S08_set3_a1,1
23,John_Adams,Is Adams' birthplace part of a national park?,S08_set3_a1,S08_set3_a1,1
24,John_Adams,When did John Adams serve as Vice President?,S08_set3_a1,S08_set3_a1,1
25,John_Adams,When did John Adams serve as Vice President?,S08_set3_a1,S08_set3_a1,1
26,John_Adams,With what party did Adams run for presidency?,S08_set3_a1,S08_set3_a1,1
27,John_Adams,With what party did Adams run for presidency?,S08_set3_a1,S08_set3_a1,1
28,John_Adams,Where is Adams buried?,S08_set3_a1,S08_set3_a1,1
29,John_Adams,Where is Adams buried?,S08_set3_a1,S08_set3_a1,1
30,John_Adams,Who were the midnight judges?,S08_set3_a1,S10_set5_a4,0
31,John_Adams,Who were the midnight judges?,S08_set3_a1,S10_set5_a4,0
32,John_Adams,In what ways was Adams opposed by Anderw Hamilton?,S08_set3_a1,S08_set3_a1,1
33,John_Adams,What information did he record in his diary?,S08_set3_a1,S08_set3_a1,1
34,John_Adams,What information did he record in his diary?,S08_set3_a1,S08_set3_a1,1
35,John_Adams,Who was defeated for re-election in the`` Revolution of 1800'' by Thomas Jefferson?,S08_set3_a1,S08_set3_a1,1
36,John_Adams,Who represented the Continental Congress in Europe?,S08_set3_a1,S08_set3_a1,1
37,John_Adams,What is now part of Adams National Historical Park?,S08_set3_a1,S08_set3_a1,1
38,John_Adams,Is it true that adams had spent some time as the ambassador?,S08_set3_a1,S08_set3_a1,1
