,query_vector
amedeo,0.0
avogadro,0.0
caricatur,0.0
lorenzo,0.0
romano,0.0
carlo,0.0
count,0.0
quaregna,0.0
cerreto,0.0
august,0.0
juli,0.0
italian,0.0
savant,0.0
note,0.0
contribut,0.0
theori,0.0
molar,0.0
molecular,0.0
weight,0.0
tribut,0.0
number,0.0
elementari,0.0
entiti,0.0
atom,0.0
molecul,0.0
ion,0.0
particl,0.0
one,0.0
mole,0.0
substanc,0.0
known,0.0
born,0.0
turin,0.0
nobl,0.0
ancient,0.0
famili,0.0
piedmont,0.0
itali,0.0
graduat,0.0
ecclesiast,0.0
law,0.0
earli,0.0
age,0.0
began,0.0
practic,0.0
soon,0.0
dedic,0.0
studi,0.0
physic,0.0
mathemat,0.0
call,0.0
posit,0.0
philosophi,0.0
start,0.0
teach,0.0
liceo,0.0
high,0.0
school,0.0
vercelli,0.0
properti,0.0
publish,0.0
articl,0.0
titl,0.0
essai,0.0
une,0.0
de,0.0
le,0.0
mass,0.0
rel,0.0
corp,0.0
et,0.0
proport,0.0
selon,0.0
lesquel,0.0
ell,0.0
entrent,0.0
dan,0.0
ce,0.0
combinaison,0.0
contain,0.0
famou,0.0
hypothesi,0.0
paper,0.0
roughli,0.0
translat,0.0
english,0.0
essay,0.0
determin,0.0
bodi,0.0
time,0.0
northern,0.0
actual,0.0
french,0.0
rule,0.0
era,0.0
bonapart,0.0
submit,0.0
poem,0.0
journal,0.0
written,0.0
becam,0.0
professor,0.3710686923700236
univers,0.0
downfal,0.0
kingdom,0.0
sardinia,0.0
capit,0.0
activ,0.0
polit,0.0
revolutionari,0.0
movement,0.0
king,0.0
result,0.0
remov,0.0
chair,0.0
offici,0.0
declar,0.0
glad,0.0
allow,0.0
interest,0.0
scientist,0.0
take,0.0
rest,0.0
heavi,0.0
duti,0.0
order,0.0
abl,0.0
give,0.0
better,0.0
attent,0.0
research,0.0
howev,0.0
isol,0.0
less,0.0
idea,0.0
receiv,0.0
increas,0.0
savoy,0.0
charl,0.0
albert,0.0
grant,0.0
modern,0.0
constitut,0.0
statuto,0.0
albertino,0.0
well,0.0
follow,0.0
work,0.0
recal,0.0
taught,0.0
anoth,0.0
twenti,0.0
year,0.0
littl,0.0
privat,0.0
life,0.0
although,0.0
seem,0.0
led,0.0
sober,0.0
religi,0.0
marri,0.0
felicita,0.0
six,0.0
children,0.0
sever,0.0
histor,0.0
confirm,0.0
sponsor,0.0
help,0.0
sardinian,0.0
plotter,0.0
organis,0.0
revolut,0.0
island,0.0
stop,0.0
last,0.0
moment,0.0
concess,0.0
statut,0.0
doubt,0.0
remain,0.0
consid,0.0
slight,0.0
evid,0.0
held,0.0
public,0.0
post,0.0
statist,0.0
meteorolog,0.0
measur,0.0
introduc,0.0
decim,0.0
metric,0.0
system,0.0
member,0.0
royal,0.0
superior,0.0
council,0.0
instruct,0.0
honour,0.0
renam,0.0
n,0.0
approxim,0.0
loschmidt,0.0
first,0.0
calcul,0.0
valu,0.0
constant,0.0
still,0.0
sometim,0.0
refer,0.0
german,0.0
languag,0.0
countri,0.0
mean,0.0
commonli,0.0
use,0.0
comput,0.0
chemic,0.0
reaction,0.0
chemist,0.0
exact,0.0
amount,0.0
produc,0.0
given,0.0
stay,0.0
wrote,0.0
concis,0.0
memoria,0.0
sent,0.0
physiqu,0.0
chimi,0.0
histoir,0.0
naturel,0.0
edit,0.0
impli,0.0
relationship,0.0
occur,0.0
volum,0.0
differ,0.0
gase,0.0
temperatur,0.0
pressur,0.0
correspond,0.0
respect,0.0
henc,0.0
ga,0.0
sampl,0.0
develop,0.0
joseph,0.0
loui,0.0
gay,0.0
lussac,0.0
combin,0.0
greatest,0.0
difficulti,0.0
resolv,0.0
huge,0.0
confus,0.0
regard,0.0
import,0.0
clearli,0.0
distinguish,0.0
admit,0.0
simpl,0.0
could,0.0
compos,0.0
instanc,0.0
john,0.0
dalton,0.0
possibl,0.0
word,0.0
almost,0.0
without,0.0
three,0.0
kind,0.0
includ,0.0
also,0.0
keener,0.0
definit,0.0
sur,0.0
ou,0.0
leur,0.0
gaz,0.0
la,0.0
quelqu,0.0
un,0.0
pour,0.0
servir,0.0
suit,0.0
l,0.0
sujet,0.0
juillet,0.0
densiti,0.0
nouvel,0.0
ramen,0.0
organiqu,0.0
aux,0.0
loi,0.0
ordinair,0.0
complet,0.0
fisica,0.0
dei,0.0
corpi,0.0
ponderabili,0.0
ossia,0.0
trattato,0.0
della,0.0
costituzion,0.0
material,0.0
scientif,0.0
commun,0.0
reserv,0.0
great,0.0
immedi,0.0
accept,0.0
announc,0.0
mari,0.0
later,0.0
achiev,0.0
method,0.0
se,0.0
nombr,0.0
disposit,0.0
dont,0.0
particul,0.0
sont,0.0
indiffer,0.0
gerhardt,0.0
laurent,0.0
williamson,0.0
organ,0.0
chemistri,0.5756462732485115
demonstr,0.0
indispens,0.0
explain,0.0
quantiti,0.0
brought,0.0
vapour,0.0
state,0.0
unfortun,0.0
perform,0.0
relat,0.0
experi,0.0
inorgan,0.0
show,0.0
except,0.0
matter,0.0
final,0.0
conclud,0.0
stanislao,0.0
cannizzaro,0.0
karlsruh,0.0
congress,0.0
four,0.0
death,0.0
happen,0.0
dissoci,0.0
certain,0.0
consequ,0.0
meet,0.0
took,0.0
place,0.0
commemor,0.0
hundredth,0.0
anniversari,0.0
classic,0.0
memoir,0.0
victor,0.0
emmanuel,0.0
iii,0.0
pay,0.0
homag,0.0
thu,0.0
recognis,0.0
unifi,0.0
rome,0.0
instead,0.0
unif,0.0
fact,0.0
clausiu,0.0
kinet,0.0
long,0.0
dilut,0.0
solut,0.0
discoveri,0.0
analog,0.0
behaviour,0.0
j,0.0
h,0.0
van,0.0
hoff,0.0
ad,0.0
consensu,0.0
triumph,0.0
sinc,0.0
founder,0.0
morselli,0.0
mario,0.0
biographi,0.0
kluwer,0.0
isbn,0.0
often,0.0
lost,0.0
appear,0.0
name,0.0
gave,0.0
new,0.0
due,0.0
e,0.0
accord,0.0
consider,0.0
control,0.0
enter,0.0
histori,0.0
attend,0.0
eventu,0.0
came,0.0
believ,0.0
problem,0.0
made,0.0
constitu,0.0
natur,0.0
review,0.0
integr,0.0
find,0.0
book,0.0
ration,0.0
suggest,0.0
historian,0.0
speak,0.0
afterward,0.0
deal,0.0
honor,0.0
shown,0.0
emperor,0.0
subject,0.0
recogn,0.0
es,0.0
composit,0.0
termin,0.0
compound,0.0
manner,0.0
crater,0.0
ric,0.0
di,0.0
johann,0.0
ordinari,0.0
hail,0.0
josef,0.0
lunar,0.0
moir,0.0
ori,0.0
shortli,0.0
ruler,0.0
rudolf,0.0
quaregga,0.0
cule,0.0
mentair,0.0
theri,0.0
jacobu,0.0
henricu,0.0
larg,0.0
widespread,0.0
group,0.0
nearli,0.0
extern,0.0
two,0.0
genet,0.0
mani,0.0
particularli,0.0
via,0.0
length,0.0
within,0.0
gener,0.0
descript,0.0
typic,0.0
either,0.0
retent,0.0
basic,0.0
form,0.0
chang,0.0
loss,0.0
common,0.0
possess,0.0
retain,0.0
plan,0.0
short,0.0
equal,0.0
size,0.0
end,0.0
five,0.0
moder,0.0
varieti,0.0
though,0.0
small,0.0
other,0.0
reach,0.0
good,0.0
even,0.0
stress,0.0
exampl,0.0
american,0.0
hous,0.0
black,0.0
point,0.0
non,0.0
structur,0.0
evolv,0.0
lack,0.0
tongu,0.0
highli,0.0
normal,0.0
extrem,0.0
may,0.0
characterist,0.0
true,0.0
low,0.0
compar,0.0
term,0.0
reli,0.0
sourc,0.0
sun,0.0
quit,0.0
night,0.0
cold,0.0
cannot,0.0
tend,0.0
vari,0.0
divers,0.0
area,0.0
consist,0.0
rare,0.0
seen,0.0
upper,0.0
unit,0.0
european,0.0
employ,0.0
like,0.0
object,0.0
mark,0.0
hear,0.0
otherwis,0.0
make,0.0
wide,0.0
specif,0.0
pattern,0.0
sound,0.0
defin,0.0
disput,0.0
would,0.0
scale,0.0
necessari,0.0
usual,0.0
need,0.0
head,0.0
see,0.0
similar,0.0
case,0.0
part,0.0
open,0.0
addit,0.0
larger,0.0
singl,0.0
continu,0.0
descend,0.0
margin,0.0
popular,0.0
kill,0.0
impact,0.0
signific,0.0
numer,0.0
promin,0.0
trade,0.0
symbol,0.0
play,0.0
role,0.0
cultur,0.0
g,0.0
australian,0.0
peopl,0.0
depict,0.0
central,0.0
north,0.0
encyclopedia,0.0
second,0.0
hill,0.0
say,0.0
regular,0.0
ii,0.0
notic,0.0
side,0.0
ground,0.0
februari,0.0
lead,0.0
divid,0.0
major,0.0
act,0.0
loan,0.0
notabl,0.0
world,0.0
war,0.0
u,0.0
neutral,0.0
subsequ,0.0
leav,0.0
hand,0.0
home,0.0
front,0.0
effect,0.0
set,0.0
union,0.0
product,0.0
person,0.0
especi,0.0
creat,0.0
nation,0.0
shape,0.0
special,0.0
turn,0.0
oper,0.0
never,0.0
controversi,0.0
foreign,0.0
centuri,0.0
third,0.0
irish,0.0
scottish,0.0
mother,0.0
origin,0.0
south,0.0
identifi,0.0
slave,0.0
care,0.0
soldier,0.0
southern,0.0
r,0.0
clerk,0.0
learn,0.0
read,0.0
old,0.0
indic,0.0
academ,0.0
self,0.0
class,0.0
link,0.0
live,0.0
ch,0.0
discuss,0.0
separ,0.0
probabl,0.0
around,0.0
c,0.0
skill,0.0
court,0.0
govern,0.0
keep,0.0
quickli,0.0
moreov,0.0
april,0.0
appli,0.0
scienc,0.0
date,0.0
left,0.0
influenc,0.0
pre,0.0
write,0.0
impress,0.0
frequent,0.0
neg,0.0
comparison,0.0
prescrib,0.0
caus,0.0
ill,0.0
section,0.0
repres,0.0
seven,0.0
full,0.0
threaten,0.0
facilit,0.0
nomin,0.0
support,0.0
standard,0.0
limit,0.0
independ,0.0
big,0.0
man,0.0
way,0.0
along,0.0
geograph,0.0
eight,0.0
sum,0.0
present,0.0
principl,0.0
found,0.0
becom,0.0
expand,0.0
speech,0.0
institut,0.0
past,0.0
resid,0.0
million,0.0
electr,0.0
strong,0.0
core,0.0
requir,0.0
replac,0.0
felt,0.0
damag,0.0
confront,0.0
west,0.0
want,0.0
v,0.0
offic,0.0
boss,0.0
period,0.0
process,0.0
p,0.0
x,0.0
convent,0.0
speaker,0.0
come,0.0
vice,0.0
modif,0.0
revis,0.0
piec,0.0
f,0.0
w,0.0
middl,0.0
print,0.0
weaken,0.0
va,0.0
fail,0.0
despit,0.0
much,0.0
direct,0.0
effort,0.0
intern,0.0
boundari,0.0
must,0.0
close,0.0
cite,0.0
author,0.0
improv,0.0
ship,0.0
extens,0.0
agent,0.0
issu,0.0
cost,0.0
child,0.0
day,0.0
gain,0.0
busi,0.0
handl,0.0
compani,0.0
greater,0.0
previou,0.0
clear,0.0
neither,0.0
element,0.0
toward,0.0
reflect,0.0
administr,0.0
regardless,0.0
record,0.0
thing,0.0
california,0.0
vs,0.0
exclus,0.0
formal,0.0
sign,0.0
free,0.0
western,0.0
futur,0.0
intend,0.0
ensur,0.0
commerc,0.0
welcom,0.0
deport,0.0
love,0.0
inform,0.0
variou,0.0
articul,0.0
aim,0.0
recommend,0.0
sea,0.0
russia,0.0
russian,0.0
statu,0.0
border,0.0
autonom,0.0
talk,0.0
fulli,0.0
latin,0.0
throughout,0.0
previous,0.0
yet,0.0
mutual,0.0
oppress,0.0
address,0.0
preserv,0.0
among,0.0
travel,0.0
voic,0.0
whether,0.0
entri,0.0
perhap,0.0
ref,0.0
land,0.0
elsewher,0.0
put,0.0
collect,0.0
spread,0.0
closest,0.0
minor,0.0
angri,0.0
repeatedli,0.0
letter,0.0
depend,0.0
eastern,0.0
realiz,0.0
quot,0.0
extent,0.0
remaind,0.0
writer,0.0
somewhat,0.0
trace,0.0
quotat,0.0
film,0.0
discourag,0.0
b,0.0
rank,0.0
action,0.0
correct,0.0
hard,0.0
go,0.0
far,0.0
enough,0.0
restrict,0.0
cours,0.0
novel,0.0
upon,0.0
base,0.0
invent,0.0
resourc,0.0
ever,0.0
ethnic,0.0
exactli,0.0
daili,0.0
ultim,0.0
feel,0.0
face,0.0
initi,0.0
tabl,0.0
commerci,0.0
ten,0.0
popul,0.0
fourth,0.0
share,0.0
neighbor,0.0
region,0.0
distinct,0.0
linguist,0.0
ident,0.0
highest,0.0
level,0.0
featur,0.0
contemporari,0.0
deriv,0.0
format,0.0
prefer,0.0
inhabit,0.0
synonym,0.0
outsid,0.0
nationalist,0.0
adopt,0.0
ki,0.0
migrat,0.0
arriv,0.0
bce,0.0
nativ,0.0
page,0.0
grand,0.0
exist,0.0
current,0.0
princ,0.0
tie,0.0
japanes,0.0
autonomi,0.0
harmoni,0.0
main,0.0
align,0.0
seat,0.0
provinc,0.0
heard,0.0
concern,0.0
legal,0.0
contrast,0.0
accommod,0.0
intent,0.0
al,0.0
navi,0.0
defens,0.0
imperfect,0.0
citizen,0.0
transit,0.0
arbitr,0.0
custom,0.0
heart,0.0
incomplet,0.0
map,0.0
mi,0.0
global,0.0
recent,0.0
estim,0.0
smaller,0.0
describ,0.0
weak,0.0
reliabl,0.0
surviv,0.0
young,0.0
mid,0.0
minim,0.0
regul,0.0
expect,0.0
dialect,0.0
chines,0.0
mostli,0.0
hundr,0.0
spoken,0.0
media,0.0
retriev,0.0
orthodox,0.0
draw,0.0
audienc,0.0
style,0.0
preced,0.0
music,0.0
significantli,0.0
oldest,0.0
literatur,0.0
root,0.0
oral,0.0
tv,0.0
radio,0.0
news,0.0
concert,0.0
instrument,0.0
unlik,0.0
earlier,0.0
bibl,0.0
latter,0.0
alway,0.0
liter,0.0
fashion,0.0
compil,0.0
uncommon,0.0
pitch,0.0
harmon,0.0
precis,0.0
qualiti,0.0
intens,0.0
modifi,0.0
regist,0.0
faster,0.0
permit,0.0
listen,0.0
therefor,0.0
electron,0.0
type,0.0
illustr,0.0
perfect,0.0
doubl,0.0
older,0.0
princip,0.0
equival,0.0
today,0.0
appropri,0.0
prior,0.0
nasal,0.0
thumb,0.0
trill,0.0
technic,0.0
dictionari,0.0
guid,0.0
k,0.0
proper,0.0
websit,0.0
email,0.0
list,0.0
topic,0.0
easi,0.0
virtual,0.0
te,0.0
interact,0.0
situat,0.0
zealand,0.0
centr,0.0
nordic,0.0
partli,0.0
charact,0.0
om,0.0
dig,0.0
bishop,0.0
whose,0.0
fleet,0.0
reason,0.0
built,0.0
construct,0.0
redevelop,0.0
sweden,0.0
baltic,0.0
swedish,0.0
suffix,0.0
abbrevi,0.0
file,0.0
belong,0.0
project,0.0
distant,0.0
mainli,0.0
nine,0.0
artifici,0.0
complex,0.0
car,0.0
hen,0.0
comprehens,0.0
afternoon,0.0
fine,0.0
furthermor,0.0
modest,0.0
behind,0.0
shop,0.0
wonder,0.0
danmark,0.0
entir,0.0
cluster,0.0
nokia,0.0
finland,0.0
percent,0.0
rout,0.0
norway,0.0
criteria,0.0
morn,0.0
librari,0.0
vilhelm,0.0
ng,0.0
variant,0.0
neolog,0.0
colon,0.0
vocabulari,0.0
borrow,0.0
denot,0.0
pronunci,0.0
alphabet,0.0
ethnologu,0.0
canada,0.0
acquir,0.0
etymolog,0.0
wherea,0.0
inflect,0.0
morpholog,0.0
conson,0.0
disappear,0.0
proto,0.0
phonem,0.0
variat,0.0
grammat,0.0
medium,0.0
lexicon,0.0
contact,0.0
intellig,0.0
vowel,0.0
grammar,0.0
pronoun,0.0
understand,0.0
opportun,0.0
versa,0.0
syllabl,0.0
pronounc,0.0
distinctli,0.0
palat,0.0
alveolar,0.0
velar,0.0
rural,0.0
fifti,0.0
cf,0.0
phonet,0.0
glottal,0.0
breathi,0.0
thousand,0.0
font,0.0
calqu,0.0
back,0.0
slightli,0.0
diphthong,0.0
spell,0.0
orthographi,0.0
phonolog,0.0
analyz,0.0
q,0.0
analysi,0.0
orthograph,0.0
allophon,0.0
tens,0.0
sentenc,0.0
rather,0.0
syntact,0.0
verb,0.0
noun,0.0
classifi,0.0
tool,0.0
text,0.0
switch,0.0
pair,0.0
sequenc,0.0
sensit,0.0
context,0.0
ni,0.0
updat,0.0
mk,0.0
plural,0.0
marker,0.0
loc,0.0
graphem,0.0
daniel,0.0
colloqui,0.0
reader,0.0
learner,0.0
wiktionari,0.0
enjoy,0.0
brother,0.0
nearbi,0.0
applic,0.0
observ,0.0
apolog,0.0
passiv,0.0
convert,0.0
affili,0.0
blue,0.0
coin,0.0
rhythm,0.0
web,0.0
ipa,0.0
emigr,0.0
agglutin,0.0
convers,0.0
inventori,0.0
lexic,0.0
loanword,0.0
indo,0.0
concept,0.0
relev,0.0
da,0.0
categori,0.0
unusu,0.0
someth,0.0
phonotact,0.0
gemin,0.0
exclud,0.0
omit,0.0
adject,0.0
preposit,0.0
singular,0.0
ms,0.0
closer,0.0
ye,0.0
slang,0.0
jump,0.0
hot,0.0
postposit,0.0
pleas,0.0
genit,0.0
